Field, Type, Null, Key, Default, Extra,
year, int(11), YES, , , ,
month, varchar(20), YES, , , ,
day, int(11), YES, , , ,
weekday, varchar(20), YES, , , ,
hour, int(11), YES, , , ,
atm_status, varchar(20), YES, , , ,
atm_id, varchar(20), YES, , , ,
atm_manufacturer, varchar(50), YES, , , ,
atm_location, varchar(50), YES, , , ,
atm_streetname, varchar(255), YES, , , ,
atm_street_number, int(11), YES, , , ,
atm_zipcode, int(11), YES, , , ,
atm_lat, decimal(10,3), YES, , , 
atm_lon, decimal(10,3), YES, , , 
currency, varchar(10), YES, , , ,
card_type, varchar(20), YES, , , ,
transaction_amount, int(11), YES, , , ,
service, varchar(20), YES, , , ,
message_code, varchar(255), YES, , , ,
message_text, varchar(255), YES, , , ,
weather_lat, decimal(10,3), YES, , , 
weather_lon, decimal(10,3), YES, , , 
weather_city_id, int(11), YES, , , ,
weather_city_name, varchar(50), YES, , , ,
temp, decimal(10,3), YES, , , 
pressure, int(11), YES, , , ,
humidity, int(11), YES, , , ,
wind_speed, int(11), YES, , , ,
wind_deg, int(11), YES, , , ,
rain_3h, decimal(10,3), YES, , , 
clouds_all, int(11), YES, , , ,
weather_id, int(11), YES, , , ,
weather_main, varchar(50), YES, , , ,
weather_description, varchar(255), YES, , , ,
